dynasty,addr_chn,region,count,x_coord,y_coord
宋,榆次,北,15,112.744682,37.678467
宋,清溪,南,15,118.965165,29.612287
宋,無為軍,南,15,117.911316,31.298515
宋,蒙城,北,15,116.555748,33.268639
宋,虞鄉,北,15,110.617546,34.859409
宋,通州,南,15,120.85464500000002,32.010471
宋,釜陽,北,15,114.374245,36.359043
宋,長泰,南,15,117.750549,24.62048
宋,隆興府,南,15,115.89772,28.674896
宋,介休,北,14,111.912163,37.026474
宋,兗州,北,14,116.82369995,35.556697845
宋,分水,南,14,119.43347200000001,29.92337
宋,增城,南,14,113.82301528571428,23.345952785714285
宋,壽光,北,14,118.73851,36.879799
宋,宣化,南,14,106.86590550000001,24.995854642857143
宋,宣州,南,14,118.74250031,30.946941376
宋,崇陽,南,14,114.04383799999998,29.548801
宋,彭澤,南,14,116.551216,29.896095
宋,徐州,北,14,115.87600073,38.34089289242858
宋,政和,南,14,118.853187,27.372105
宋,桐城,南,14,116.93860600000001,31.05228
宋,河內,北,14,112.936989,35.089302
宋,海豐,南,14,115.334808,22.975712000000005
宋,渝州,南,14,106.44494629,29.590402603
宋,渠江,南,14,106.631752,30.47769
宋,濮陽,北,14,115.06886457142858,35.65802814285714
宋,龍安,南,14,104.428528,31.649504
宋,上蔡,北,13,114.226669,33.264837
宋,上高,南,13,114.92675,28.241369
宋,太湖,南,13,116.265076,30.420059
宋,新津,南,13,103.810936,30.423536
宋,昌元,南,13,105.707979,29.438777
宋,晉城,北,13,112.83915699999999,35.504318
宋,正平,北,13,111.216148,35.616409
宋,歸善,南,13,114.414981,23.089791999999996
宋,洪州,南,13,115.89772034,28.674896240000002
宋,石埭,南,13,117.94508399999998,30.374228
宋,萬泉,北,13,110.801264,35.36078
宋,郃陽,北,13,110.151016,35.242584
宋,鄰水,南,13,106.932105,30.424871
宋,信州,南,12,117.96488953,28.450691222999996
宋,夾江,南,12,103.57241800000001,29.74136
宋,富順監,南,12,104.9966,29.1883
宋,導江,南,12,103.71374099999998,31.002649
宋,并州,北,12,112.74468,37.67847
宋,廣州,南,12,113.2560656325,23.134624280583335
